iter	Passed	Remaining
403	11491	682
404	11519	654
405	11546	625
406	11574	597
407	11602	568
408	11629	540
409	11656	511
410	11686	483
411	11715	454
412	11743	426
413	11770	398
414	11800	369
415	11829	341
416	11855	312
417	11884	284
418	11913	255
419	11943	227
420	11970	199
421	12000	170
422	12028	142
423	12058	113
424	12088	85
425	12116	56
426	12145	28
427	12174	0
