iter	MultiClass
0	1.60251623
1	1.595749011
2	1.589022201
3	1.582454613
4	1.576202093
5	1.570164924
6	1.564302374
7	1.558394449
8	1.552763016
9	1.547208115
10	1.541728514
11	1.536188487
12	1.530947333
13	1.525942567
14	1.520886239
15	1.515949585
16	1.511303207
17	1.506943055
18	1.502102784
19	1.497460237
20	1.492932931
21	1.488499572
22	1.484139302
23	1.479808837
24	1.475535833
25	1.471538657
26	1.467473099
27	1.463585125
28	1.459821093
29	1.456213961
30	1.452499778
31	1.448909816
32	1.445465345
33	1.442031974
34	1.438795166
35	1.435374246
36	1.432384154
37	1.429253077
38	1.426386669
39	1.423246243
40	1.420283431
41	1.417265581
42	1.414322077
43	1.411353964
44	1.408427088
45	1.405646814
46	1.402858999
47	1.400138944
48	1.397611051
49	1.395034857
50	1.392438395
51	1.389938165
52	1.387653262
53	1.385366721
54	1.38295903
55	1.3805561
56	1.378287744
57	1.376082148
58	1.373783069
59	1.371607772
60	1.369448465
61	1.367286317
62	1.365299119
63	1.363255421
64	1.3612033
65	1.359249345
66	1.357338167
67	1.35540625
68	1.35357996
69	1.351835819
70	1.34986482
71	1.348018237
72	1.346208732
73	1.344486347
74	1.342642458
75	1.341036655
76	1.339371694
77	1.337699887
78	1.33602328
79	1.334330073
80	1.332645276
81	1.331027386
82	1.329443314
83	1.327949264
84	1.326429692
85	1.325023626
86	1.323501993
87	1.322066269
88	1.3206514
89	1.319259941
90	1.317841608
91	1.316473732
92	1.315270122
93	1.314013358
94	1.31275615
95	1.311416515
96	1.310107308
97	1.30882262
98	1.307553238
99	1.306299231
100	1.305164728
101	1.30405755
102	1.302856365
103	1.301654924
104	1.300546581
105	1.299457315
106	1.298291179
107	1.2971574
108	1.296055704
109	1.29511266
110	1.29402023
111	1.293128492
112	1.29211587
113	1.29104889
114	1.290001625
115	1.288999844
116	1.287999206
117	1.287024314
118	1.286102237
119	1.285219998
120	1.28438454
121	1.283474134
122	1.282603431
123	1.281718371
124	1.280901841
125	1.280109128
126	1.279390538
127	1.278555928
128	1.277673801
129	1.276872767
130	1.276095803
131	1.275348371
132	1.274571286
133	1.273876796
134	1.273111066
135	1.272343922
136	1.27158855
137	1.270805528
138	1.270078587
139	1.269329642
140	1.268641467
141	1.267922127
142	1.267230161
143	1.266570487
144	1.265900051
145	1.265247034
146	1.264557376
147	1.263942405
148	1.263266513
149	1.262670783
150	1.262037001
151	1.261419689
152	1.26081953
153	1.260166826
154	1.2595681
155	1.258935017
156	1.258386748
157	1.257812851
158	1.25734627
159	1.256757162
160	1.256241211
161	1.255701457
162	1.25513245
163	1.254567422
164	1.254067808
165	1.253498605
166	1.25295665
167	1.252431063
168	1.251858656
169	1.251354824
170	1.250864821
171	1.250416143
172	1.24996841
173	1.249495375
174	1.248972872
175	1.248553695
176	1.248057973
177	1.247618161
178	1.247112598
179	1.2466404
180	1.246181092
181	1.24573704
182	1.24528538
183	1.244802717
184	1.244332816
185	1.243815362
186	1.243292918
187	1.242844239
188	1.242532559
189	1.242100744
190	1.241684885
191	1.241261894
192	1.240866879
193	1.240493327
194	1.240030807
195	1.239604469
196	1.239198814
197	1.238788504
198	1.238371522
199	1.23799498
200	1.23761802
201	1.237274987
202	1.236865393
203	1.236435302
204	1.236088619
205	1.235701749
206	1.235308558
207	1.23500762
208	1.234629903
209	1.234308174
210	1.233978127
211	1.233602426
212	1.233302568
213	1.232982821
214	1.232687882
215	1.232353204
216	1.231995481
217	1.231670182
218	1.231301415
219	1.230989854
220	1.230578872
221	1.23032091
222	1.230051747
223	1.229711598
224	1.229386567
225	1.229093012
226	1.228795468
227	1.228456963
228	1.228112037
229	1.22784649
230	1.227562658
231	1.227282914
232	1.226999254
233	1.226741393
234	1.22647657
235	1.226230627
236	1.225977562
237	1.225702068
238	1.225441598
239	1.225183052
240	1.224953978
241	1.22465761
242	1.224371358
243	1.224076753
244	1.223828837
245	1.223521867
246	1.223293863
247	1.223048378
248	1.222765682
249	1.222522135
250	1.222308141
251	1.222063944
252	1.221784442
253	1.221574868
254	1.221280749
255	1.221087838
256	1.220886079
257	1.220702294
258	1.220529304
259	1.220264475
260	1.220033227
261	1.219811086
262	1.219555647
263	1.219286447
264	1.219062611
265	1.218815703
266	1.218657852
267	1.218421482
268	1.218225953
269	1.21802572
270	1.217827705
271	1.21757103
272	1.217383711
273	1.217211693
274	1.216975608
275	1.216762436
276	1.216510853
277	1.21634353
278	1.216145584
279	1.215900892
280	1.215724443
281	1.215554351
282	1.215369904
283	1.215120254
284	1.214955788
285	1.214795773
286	1.214609717
287	1.214419063
288	1.214184497
289	1.21395976
290	1.213781328
291	1.213599177
292	1.213369735
293	1.213130956
294	1.21291087
295	1.212712876
296	1.212515517
297	1.21233482
298	1.212172611
299	1.212000003
300	1.211869565
301	1.211692133
302	1.211486905
303	1.211302057
304	1.211128362
305	1.211006627
306	1.210872651
307	1.210705367
308	1.210549709
309	1.210395975
310	1.210234782
311	1.210106274
312	1.209915326
313	1.209695264
314	1.209525045
315	1.209376145
316	1.209188444
317	1.2090278
318	1.208867886
319	1.20870192
320	1.208566134
321	1.208372025
322	1.208194502
323	1.208024176
324	1.207817073
325	1.207658128
326	1.207444225
327	1.207292952
328	1.207135872
329	1.206954913
330	1.206801368
331	1.206622727
332	1.206455655
333	1.206273114
334	1.206087214
335	1.205931335
336	1.205752914
337	1.205620252
338	1.205477569
339	1.205313074
340	1.205169254
341	1.20501431
342	1.204828414
343	1.204667835
344	1.204515318
345	1.204335934
346	1.204214538
347	1.204040402
348	1.203828428
349	1.203708109
350	1.203516639
351	1.203381344
352	1.203264393
353	1.203150396
354	1.202989985
355	1.202844637
356	1.20264251
357	1.202500657
358	1.202348253
359	1.202198332
360	1.202066606
361	1.20196882
362	1.201836534
363	1.201663404
364	1.201508864
365	1.201354618
366	1.201209754
367	1.201102458
368	1.200963917
369	1.200837003
370	1.200618165
371	1.20043611
372	1.200286207
373	1.200118129
374	1.199964053
375	1.199796933
376	1.199658699
377	1.199514036
378	1.199421623
379	1.199271241
380	1.19915752
381	1.198989694
382	1.198850293
383	1.198635662
384	1.198471925
385	1.198336651
386	1.198164789
387	1.198016126
388	1.197888711
389	1.197698102
390	1.197586691
391	1.197450936
392	1.197335702
393	1.197211529
394	1.197063698
395	1.196992306
396	1.196883559
397	1.196765041
398	1.196626517
399	1.196489685
400	1.196358025
401	1.196163175
402	1.196057729
403	1.195963476
404	1.195837614
405	1.195729292
406	1.19559044
407	1.195478905
408	1.195367795
409	1.195188044
410	1.195060244
411	1.194895031
412	1.194778917
413	1.194676987
414	1.194552455
415	1.194436726
416	1.194279542
417	1.194174053
418	1.194053857
419	1.193942632
420	1.193828019
421	1.19371645
422	1.193637637
423	1.193519158
424	1.193426631
425	1.19331793
426	1.193224536
427	1.193116596
